game_pk,team_nickname,promotion_name
573401,mlb,Fireworks
573403,mlb,Fireworks
573405,mlb,Fireworks
573417,mlb,Fireworks
573427,mlb,Bobblehead
573428,mlb,Fireworks
573430,mlb,Fireworks
573432,mlb,Fireworks
573435,mlb,Fireworks
573445,mlb,Fireworks
573450,mlb,Fireworks
573454,mlb,Fireworks
573463,mlb,Fireworks
573467,mlb,Fireworks
573471,mlb,Fireworks
573481,mlb,Fireworks
573486,mlb,Fireworks
573497,mlb,Fireworks
573500,mlb,Fireworks
573504,mlb,Fireworks
573505,mlb,Fireworks
573505,mlb,Fireworks
573506,mlb,Fireworks
573513,mlb,Fireworks
573517,mlb,Fireworks
573517,mlb,Fireworks
573521,mlb,Fireworks
573527,mlb,Bobblehead
573527,mlb,Fireworks
573529,mlb,Fireworks
573530,mlb,Fireworks
573538,mlb,Fireworks
573539,mlb,Fireworks
573539,mlb,Fireworks
573540,mlb,Fireworks
573543,mlb,Fireworks
573544,mlb,Fireworks
573548,mlb,Fireworks
573552,mlb,Fireworks
573552,mlb,Fireworks
573558,mlb,Bobblehead
573558,mlb,Fireworks
573559,mlb,Fireworks
573563,mlb,Fireworks
573563,mlb,Fireworks
573564,mlb,Fireworks
573567,mlb,Fireworks
573567,mlb,Fireworks
573568,mlb,Fireworks
573573,mlb,Fireworks
573574,mlb,Fireworks
573576,mlb,Fireworks
573586,mlb,Fireworks
573591,mlb,Fireworks
573598,mlb,Fireworks
573603,mlb,Fireworks
573604,mlb,Fireworks
573607,mlb,Bobblehead
573608,mlb,Fireworks
573613,mlb,Fireworks
573615,mlb,Fireworks
573618,mlb,Fireworks
573626,mlb,Bobblehead
573627,mlb,Fireworks
573631,mlb,Fireworks
573632,mlb,Fireworks
573639,mlb,Bobblehead
573641,mlb,Fireworks
573679,mlb,Bobblehead
573698,mlb,Fireworks
573700,mlb,Bobblehead
573704,mlb,Bobblehead
573713,mlb,Fireworks
573817,mlb,Fireworks
573826,mlb,Fireworks
573848,mlb,Bobblehead
573851,mlb,Bobblehead
573855,mlb,Fireworks
573870,mlb,Fireworks
573877,mlb,Fireworks
573890,mlb,Fireworks
573896,mlb,Fireworks
573897,mlb,Fireworks
573906,mlb,Fireworks
573911,mlb,Fireworks
573917,mlb,Fireworks
573920,mlb,Fireworks
573924,mlb,Fireworks
573932,mlb,Fireworks
573933,mlb,Fireworks
573938,mlb,Fireworks
573945,mlb,Fireworks
573950,mlb,Fireworks
573957,mlb,Fireworks
573960,mlb,Bobblehead
573961,mlb,Fireworks
573964,mlb,Fireworks
573974,mlb,Fireworks
573988,mlb,Fireworks
573993,mlb,Fireworks
573995,mlb,Fireworks
574002,mlb,Bobblehead
574002,mlb,Fireworks
574002,mlb,Fireworks
574007,mlb,Fireworks
574029,mlb,Fireworks
574030,mlb,Fireworks
574031,mlb,Fireworks
574033,mlb,Fireworks
574034,mlb,Fireworks
574035,mlb,Fireworks
574037,mlb,Fireworks
574038,mlb,Fireworks
574039,mlb,Fireworks
574043,mlb,Fireworks
574043,mlb,Fireworks
574047,mlb,Fireworks
574048,mlb,Fireworks
574052,mlb,Fireworks
574053,mlb,Fireworks
574054,mlb,Fireworks
574057,mlb,Fireworks
574058,mlb,Fireworks
574059,mlb,Fireworks
574061,mlb,Fireworks
574062,mlb,Fireworks
574063,mlb,Fireworks
574068,mlb,Fireworks
574068,mlb,Fireworks
574069,mlb,Fireworks
574078,mlb,Fireworks
574085,mlb,Fireworks
574089,mlb,Fireworks
574090,mlb,Fireworks
574093,mlb,Fireworks
574094,mlb,Fireworks
574099,mlb,Fireworks
574105,mlb,Fireworks
574106,mlb,Fireworks
574111,mlb,Fireworks
574112,mlb,Fireworks
574113,mlb,Fireworks
574115,mlb,Fireworks
574116,mlb,Fireworks
574121,mlb,Fireworks
574122,mlb,Fireworks
574123,mlb,Bobblehead
574126,mlb,Fireworks
574127,mlb,Fireworks
574141,mlb,Fireworks
574150,mlb,Bobblehead
574159,mlb,Bobblehead
574175,mlb,Bobblehead
574181,mlb,Fireworks
574191,mlb,Bobblehead
574203,mlb,Fireworks
574209,mlb,Fireworks
574220,mlb,Fireworks
574225,mlb,Fireworks
574232,mlb,Fireworks
574233,mlb,Bobblehead
574238,mlb,Fireworks
574245,mlb,Fireworks
574250,mlb,Fireworks
574258,mlb,Fireworks
574263,mlb,Fireworks
574269,mlb,Fireworks
574270,mlb,Fireworks
574272,mlb,Fireworks
574275,mlb,Fireworks
574280,mlb,Fireworks
574288,mlb,Fireworks
574300,mlb,Fireworks
574307,mlb,Fireworks
574309,mlb,Fireworks
574315,mlb,Fireworks
574322,mlb,Fireworks
574335,mlb,Fireworks
574342,mlb,Fireworks
574344,mlb,Fireworks
574351,mlb,Fireworks
574361,mlb,Fireworks
574365,mlb,Fireworks
574368,mlb,Fireworks
574372,mlb,Fireworks
574381,mlb,Fireworks
574387,mlb,Bobblehead
574387,mlb,Fireworks
574390,mlb,Fireworks
574391,mlb,Fireworks
574396,mlb,Fireworks
574403,mlb,Fireworks
574415,mlb,Fireworks
574416,mlb,Fireworks
574439,mlb,Fireworks
574453,mlb,Fireworks
574456,mlb,Fireworks
574463,mlb,Fireworks
574472,mlb,Bobblehead
574496,mlb,Fireworks
574506,mlb,Fireworks
574513,mlb,Fireworks
574522,mlb,Fireworks
574527,mlb,Fireworks
574530,mlb,Fireworks
574541,mlb,Fireworks
574548,mlb,Fireworks
574556,mlb,Fireworks
574559,mlb,Fireworks
574560,mlb,Fireworks
574568,mlb,Fireworks
574570,mlb,Fireworks
574571,mlb,Fireworks
574574,mlb,Fireworks
574580,mlb,Fireworks
574581,mlb,Fireworks
574587,mlb,Fireworks
574588,mlb,Fireworks
574589,mlb,Fireworks
574590,mlb,Fireworks
574595,mlb,Fireworks
574596,mlb,Fireworks
574602,mlb,Fireworks
574613,mlb,Fireworks
574621,mlb,Fireworks
574624,mlb,Fireworks
574625,mlb,Bobblehead
574625,mlb,Fireworks
574629,mlb,Fireworks
574634,mlb,Fireworks
574642,mlb,Fireworks
574652,mlb,Fireworks
574653,mlb,Fireworks
574662,mlb,Fireworks
574668,mlb,Fireworks
574669,mlb,Fireworks
574671,mlb,Fireworks
574680,mlb,Bobblehead
574681,mlb,Fireworks
574687,mlb,Fireworks
574688,mlb,Fireworks
574696,mlb,Fireworks
574697,mlb,Bobblehead
574710,mlb,Fireworks
574718,mlb,Fireworks
574719,mlb,Bobblehead
574726,mlb,Fireworks
574727,mlb,Bobblehead
574735,mlb,Fireworks
574736,mlb,Bobblehead
574740,mlb,Fireworks
574746,mlb,Fireworks
574749,mlb,Bobblehead
574756,mlb,Fireworks
574765,mlb,Fireworks
574766,mlb,Fireworks
574769,mlb,Fireworks
574771,mlb,Fireworks
574772,mlb,Fireworks
574775,mlb,Fireworks
574776,mlb,Fireworks
574781,mlb,Fireworks
574782,mlb,Fireworks
574784,mlb,Fireworks
574791,mlb,Fireworks
574792,mlb,Fireworks
574801,mlb,Fireworks
574802,mlb,Fireworks
574807,mlb,Fireworks
574808,mlb,Fireworks
574809,mlb,Fireworks
574810,mlb,Fireworks
574811,mlb,Fireworks
574816,mlb,Fireworks
574817,mlb,Fireworks
574819,mlb,Fireworks
574825,mlb,Fireworks
574826,mlb,Fireworks
574835,mlb,Fireworks
574842,mlb,Fireworks
574844,mlb,Fireworks
574844,mlb,Fireworks
574852,mlb,Fireworks
574856,mlb,Fireworks
574859,mlb,Fireworks
574863,mlb,Fireworks
574866,mlb,Fireworks
574872,mlb,Fireworks
574878,mlb,Fireworks
574882,mlb,Fireworks
574885,mlb,Fireworks
574885,mlb,Fireworks
574888,mlb,Fireworks
574893,mlb,Fireworks
574896,mlb,Fireworks
574902,mlb,Bobblehead
574903,mlb,Fireworks
574905,mlb,Fireworks
574906,mlb,Bobblehead
575204,mlb,Fireworks
575223,mlb,Bobblehead
575236,mlb,Fireworks
575242,mlb,Fireworks
575248,mlb,Fireworks
575249,mlb,Bobblehead
575250,mlb,Fireworks
575258,mlb,Fireworks
575259,mlb,Bobblehead
575263,mlb,Fireworks
575264,mlb,Bobblehead
575267,mlb,Fireworks
575269,mlb,Fireworks
575275,mlb,Fireworks
575279,mlb,Bobblehead
575279,mlb,Fireworks
575280,mlb,Bobblehead
575285,mlb,Bobblehead
575285,mlb,Fireworks
575293,mlb,Fireworks
575340,mlb,Bobblehead
575345,mlb,Bobblehead
575366,mlb,Fireworks
575378,mlb,Fireworks
575384,mlb,Fireworks
575390,mlb,Fireworks
575391,mlb,Bobblehead
575395,mlb,Fireworks
575401,mlb,Fireworks
575404,mlb,Fireworks
575406,mlb,Fireworks
575407,mlb,Fireworks
575408,mlb,Bobblehead
575414,mlb,Fireworks
575421,mlb,Fireworks
575422,mlb,Bobblehead
575427,mlb,Fireworks
575440,mlb,Bobblehead
575442,mlb,Bobblehead
575448,mlb,Bobblehead
575454,mlb,Bobblehead
575458,mlb,Fireworks
575462,mlb,Bobblehead
575466,mlb,Fireworks
575468,mlb,Bobblehead
575472,mlb,Fireworks
575475,mlb,Bobblehead
575476,mlb,Fireworks
575477,mlb,Fireworks
575478,mlb,Fireworks
575482,mlb,Fireworks
575484,mlb,Bobblehead
575488,mlb,Fireworks
575491,mlb,Bobblehead
575495,mlb,Fireworks
575498,mlb,Bobblehead
575502,mlb,Fireworks
575513,mlb,Fireworks
575519,mlb,Fireworks
575525,mlb,Fireworks
575532,mlb,Fireworks
575538,mlb,Fireworks
575558,mlb,Fireworks
575567,mlb,Fireworks
575573,mlb,Fireworks
575576,mlb,Fireworks
575578,mlb,Bobblehead
575585,mlb,Fireworks
575590,mlb,Bobblehead
575593,mlb,Fireworks
575596,mlb,Fireworks
575605,mlb,Fireworks
575607,mlb,Bobblehead
575611,mlb,Fireworks
575616,mlb,Fireworks
575621,mlb,Fireworks
575627,mlb,Fireworks
575628,mlb,Bobblehead
575684,mlb,Bobblehead
575694,mlb,Fireworks
575697,mlb,Bobblehead
575702,mlb,Bobblehead
575703,mlb,Bobblehead
575720,mlb,Fireworks
575737,mlb,Bobblehead
575747,mlb,Bobblehead
575749,mlb,Fireworks
575750,mlb,Bobblehead
575755,mlb,Fireworks
575756,mlb,Bobblehead
575760,mlb,Fireworks
575761,mlb,Fireworks
575768,mlb,Bobblehead
575768,mlb,Fireworks
575774,mlb,Bobblehead
575779,mlb,Fireworks
575780,mlb,Bobblehead
575780,mlb,Fireworks
575786,mlb,Fireworks
575788,mlb,Bobblehead
575802,mlb,Fireworks
575808,mlb,Fireworks
575814,mlb,Fireworks
575818,mlb,Bobblehead
575819,mlb,Fireworks
575825,mlb,Fireworks
575829,mlb,Fireworks
575830,mlb,Fireworks
575831,mlb,Fireworks
575833,mlb,Bobblehead
575834,mlb,Fireworks
575841,mlb,Bobblehead
575841,mlb,Fireworks
575844,mlb,Fireworks
575850,mlb,Fireworks
575858,mlb,Fireworks
575883,mlb,Fireworks
575887,mlb,Fireworks
575888,mlb,Fireworks
575893,mlb,Fireworks
575899,mlb,Fireworks
575900,mlb,Fireworks
575903,mlb,Fireworks
575905,mlb,Fireworks
575906,mlb,Fireworks
575909,mlb,Bobblehead
575911,mlb,Fireworks
575912,mlb,Fireworks
575917,mlb,Fireworks
575918,mlb,Bobblehead
575919,mlb,Fireworks
575920,mlb,Fireworks
575921,mlb,Bobblehead
575925,mlb,Fireworks
575926,mlb,Fireworks
575928,mlb,Fireworks
575929,mlb,Fireworks
575945,mlb,Fireworks
575952,mlb,Bobblehead
575982,mlb,Fireworks
575994,mlb,Bobblehead
575999,mlb,Fireworks
576003,mlb,Fireworks
576014,mlb,Fireworks
576028,mlb,Fireworks
576029,mlb,Fireworks
576035,mlb,Fireworks
576040,mlb,Fireworks
576043,mlb,Fireworks
576049,mlb,Fireworks
576054,mlb,Bobblehead
576055,mlb,Fireworks
576061,mlb,Fireworks
576068,mlb,Fireworks
